Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
COSMO,118.0,-1.45,43.92,31.53,-0.25,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,110.40-115.50 (%2.1 altta),233.40-262.00 (%97.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 119.74 (%1.5 üstte)
CRDFA,25.34,-1.07,34.08,73.62,-0.66,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 25.61 (%1.1 üstte)
CRFSA,266.5,63.0,51.81,0.0,0.17,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 225.52 (%15.4 altta) | EMA21 Direnç: 268.87 (%0.9 üstte)
CUSAN,24.84,1.47,51.97,88.72,0.56,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,20.50-21.34 (%14.1 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 24.73 (%0.4 altta) | EMA200 Direnç: 24.88 (%0.2 üstte)
CVKMD,15.31,-1.92,26.96,44.93,-0.62,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,43.16-46.90 (%181.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Direnç: 15.61 (%2.0 üstte)
CWENE,33.28,0.58,42.51,29.12,-0.69,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 33.22 (%0.2 altta) | EMA21 Direnç: 35.71 (%7.3 üstte)
DAGI,9.57,16.86,44.5,8.78,-0.67,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,5.36-5.64 (%41.1 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 9.44 (%1.4 altta) | EMA5 Direnç: 9.70 (%1.4 üstte)
DAPGM,8.32,3.15,48.05,61.87,-0.72,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,9.67-10.23 (%16.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 8.07 (%3.1 altta) | EMA21 Direnç: 8.33 (%0.1 üstte)
DARDL,1.61,0.52,38.71,49.27,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,2.46-2.54 (%52.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 1.60 (%0.5 altta) | EMA21 Direnç: 1.65 (%2.6 üstte)
DCTTR,5.99,-1.7,19.14,6.35,-0.94,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 6.09 (%1.7 üstte)
DENGE,2.5,5.59,58.3,62.2,0.1,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,3.24-3.49 (%29.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 2.44 (%2.6 altta) | EMA200 Direnç: 2.65 (%6.1 üstte)
DERHL,2.1,0.71,42.17,39.58,-0.89,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,3.12-3.27 (%48.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 2.09 (%0.7 altta) | EMA21 Direnç: 2.16 (%2.8 üstte)
DERIM,34.68,-1.21,42.9,10.36,-0.92,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,37.72-41.18 (%8.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 35.11 (%1.2 üstte)
DESA,9.96,0.81,49.4,40.3,-0.53,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,15.00-15.40 (%50.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 9.95 (%0.1 altta) | EMA55 Direnç: 10.38 (%4.2 üstte)
DESPC,40.4,0.74,47.89,47.79,-0.49,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,58.50-62.30 (%44.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 40.10 (%0.7 altta) | EMA21 Direnç: 40.67 (%0.7 üstte)
DEVA,94.9,32.88,67.32,25.15,0.79,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,64.35-65.30 (%31.2 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 93.99 (%1.0 altta)
DGATE,89.3,-0.88,34.95,43.74,-0.92,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,63.00-66.45 (%25.6 altta),118.90-122.30 (%33.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 90.10 (%0.9 üstte)
DGGYO,33.76,1.08,47.31,42.28,-0.46,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA200 Destek: 33.67 (%0.3 altta) | EMA21 Direnç: 34.00 (%0.7 üstte)
DGNMO,7.08,0.49,31.36,3.38,-0.94,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,3.51-3.76 (%46.9 altta),8.28-9.57 (%16.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 7.05 (%0.5 altta) | EMA5 Direnç: 7.23 (%2.1 üstte)
DIRIT,25.5,0.22,47.53,22.78,0.03,🩸 ASIL SİNYAL: GÜÇLÜ SAT (EMA Çöktü + SSL Onay),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🟢 Yükseliş Trendinde,20.54-21.24 (%16.7 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 25.44 (%0.2 altta) | EMA100 Direnç: 25.51 (%0.0 üstte)
DITAS,21.02,-0.31,38.4,11.79,-0.81,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,47.78-51.65 (%127.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 21.09 (%0.3 üstte)
DMRGD,10.88,42.91,45.36,13.19,-0.54,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,3.47-3.59 (%67.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA100 Destek: 10.00 (%8.0 altta) | EMA5 Direnç: 10.89 (%0.1 üstte)
DMSAS,8.15,-1.4,37.08,3.3,-0.92,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,8.92-9.53 (%9.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 8.27 (%1.4 üstte)
DNISI,4.85,4.85,58.14,51.97,-0.62,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 4.77 (%1.6 altta)
DOAS,166.2,0.88,46.35,85.32,-0.66,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,156.47-160.49 (%3.4 altta),204.52-211.19 (%23.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 164.75 (%0.9 altta) | EMA21 Direnç: 167.18 (%0.6 üstte)
DOCO,11420.0,8.1,51.04,50.6,-0.33,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 11412.86 (%0.1 altta) | EMA5 Direnç: 11420.94 (%0.0 üstte)
DOFER,28.44,1.29,47.16,62.86,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 Yükseliş Trendinde,-,56.46-58.85 (%98.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 28.08 (%1.3 altta) | EMA21 Direnç: 28.58 (%0.5 üstte)
DOFRB,116.8,-0.8,38.5,23.02,-0.83,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,74.10-82.25 (%29.6 altta),185.00-199.30 (%58.4 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 117.75 (%0.8 üstte)
DOGUB,63.5,-1.68,36.78,64.94,-0.85,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,-,-,🔴 Düşüş Trendinde,-,96.00-104.70 (%51.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 64.58 (%1.7 üstte)
DOHOL,21.66,6.35,51.98,30.09,0.16,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔴 SAT,-,-,🟢 Yükseliş Trendinde,19.01-19.69 (%9.1 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 21.56 (%0.5 altta) | EMA5 Direnç: 21.71 (%0.2 üstte)
DOKTA,23.1,1.42,52.7,29.42,-0.78,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 Yükseliş Trendinde,20.54-21.60 (%6.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 22.79 (%1.3 altta) | EMA55 Direnç: 23.24 (%0.6 üstte)
DSTKF,2505.0,41.5,63.13,87.82,0.5,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 2398.83 (%4.2 altta)
DUNYH,119.8,11.1,100.0,66.15,0.45,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🔥 GÜÇLÜ AL (Taze Kırılım),🩸 SAT (Zirveden Dönüş),🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,4.81,EMA5 Destek: 112.67 (%6.0 altta)
DURDO,5.17,15.92,56.09,88.28,0.54,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,5.07-5.34 (fiyat bandın içinde!),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 5.10 (%1.4 altta)
DURKN,20.74,9.08,45.78,1.1,-0.58,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,13.72-14.02 (%32.4 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 20.46 (%1.3 altta) | EMA55 Direnç: 20.95 (%1.0 üstte)
DYOBY,13.58,1.57,53.14,47.65,-0.53,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,-,16.50-18.36 (%21.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 13.37 (%1.5 altta) | EMA55 Direnç: 13.68 (%0.8 üstte)
DZGYO,8.01,8.91,64.86,79.07,0.61,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,8.62-8.88 (%7.6 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,3.67,EMA200 Destek: 7.75 (%3.3 altta)
EBEBK,82.8,17.46,51.22,39.8,-0.43,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,88.50-92.15 (%6.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 82.35 (%0.5 altta)
ECILC,74.15,0.46,49.26,43.84,-0.64,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,115.79-123.72 (%56.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 73.81 (%0.5 altta) | EMA21 Direnç: 74.43 (%0.4 üstte)
ECOGR,34.66,9.67,45.99,51.16,-0.82,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,42.64-45.72 (%23.0 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 34.04 (%1.8 altta) | EMA21 Direnç: 35.05 (%1.1 üstte)
ECZYT,313.75,0.35,46.54,70.98,-0.67,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,271.19-281.28 (%10.3 altta),348.50-369.75 (%11.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 312.65 (%0.4 altta) | EMA21 Direnç: 317.17 (%1.1 üstte)
EDATA,17.3,21.44,35.84,3.17,-0.96,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🩸 SAT (Trend Kırıldı),-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA200 Destek: 14.25 (%17.7 altta) | EMA100 Direnç: 17.79 (%2.8 üstte)
EDIP,36.28,0.33,49.4,34.98,0.28,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,38.08-41.16 (%5.0 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 36.26 (%0.1 altta) | EMA21 Direnç: 36.38 (%0.3 üstte)
EFOR,18.99,11.53,52.66,69.63,-0.49,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,10.52-11.95 (%37.1 altta),22.78-23.96 (%20.0 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA200 Destek: 18.70 (%1.5 altta)
EGEEN,5870.0,12.05,70.32,100.0,0.3,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,7317.50-7497.50 (%24.7 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,4.21,EMA100 Destek: 5625.52 (%4.2 altta) | EMA200 Direnç: 6293.30 (%7.2 üstte)
EGEGY,27.1,1.26,43.36,35.64,-0.81,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 26.76 (%1.2 altta) | EMA21 Direnç: 28.43 (%4.9 üstte)
EGEPO,12.78,-10.13,24.06,0.0,-0.78,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,6.98-7.16 (%44.0 altta),18.65-19.14 (%45.9 üstte),🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-6.13,EMA5 Direnç: 14.22 (%11.3 üstte)
EGGUB,109.0,5.04,57.58,28.23,0.1,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,92.85-95.30 (%12.6 altta),128.90-142.30 (%18.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 108.02 (%0.9 altta)
EGPRO,38.74,19.31,56.07,41.42,0.06,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,22.77-24.24 (%37.4 altta),41.96-45.60 (%8.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 38.30 (%1.1 altta)
EGSER,3.01,1.81,54.3,61.89,-0.55,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,2.67-2.75 (%8.6 altta),2.89-3.15 (fiyat bandın içinde!),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 2.96 (%1.7 altta) | EMA55 Direnç: 3.01 (%0.0 üstte)
EKDMR,46.04,999,44.0,48.47,-0.43,-,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Düşüş Trendinde,-,61.85-67.95 (%34.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,-,0.0,EMA5 Direnç: 46.66 (%1.4 üstte)
EKGYO,22.4,13.77,69.98,50.93,0.35,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),📈 TREND DEVAMI (0 Üstü + Hacim),-,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,3.24,EMA5 Destek: 20.78 (%7.2 altta)
EKIM,17.77,999,37.28,22.78,-0.8,-,🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,-,0.0,EMA5 Direnç: 17.97 (%1.1 üstte)
EKIZ,59.5,1.45,41.48,61.3,-0.53,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 58.65 (%1.4 altta) | EMA21 Direnç: 60.82 (%2.2 üstte)
EKOS,4.95,0.23,35.51,42.95,-0.88,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,7.25-7.91 (%46.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.94 (%0.2 altta) | EMA21 Direnç: 5.25 (%6.0 üstte)
EKSUN,5.67,-0.66,37.86,10.45,-0.85,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,5.06-5.22 (%7.9 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 5.71 (%0.7 üstte)
ELITE,26.3,-0.68,34.17,10.97,-0.76,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,31.18-32.16 (%18.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 26.48 (%0.7 üstte)
EMKEL,12.98,-2.7,17.93,19.08,-0.95,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,20.60-22.50 (%58.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 13.34 (%2.8 üstte)
EMNIS,157.0,1.03,50.0,93.85,-0.49,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,146.30-148.90 (%5.2 altta),170.90-174.10 (%8.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 156.56 (%0.3 altta) | EMA55 Direnç: 158.03 (%0.7 üstte)
EMPAE,66.8,999,46.17,37.2,-0.58,-,🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA100 Destek: 66.43 (%0.6 altta) | EMA5 Direnç: 67.35 (%0.8 üstte)
ENDAE,17.33,5.54,45.75,11.2,-0.87,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 Yükseliş Trendinde,14.89-15.60 (%10.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 17.23 (%0.6 altta) | EMA5 Direnç: 17.36 (%0.2 üstte)
ENERY,11.06,18.0,74.88,89.78,0.99,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 10.74 (%2.8 altta)
ENJSA,118.2,16.83,61.71,58.53,0.64,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,99.10-103.00 (%12.9 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 115.39 (%2.4 altta)
ENKAI,90.75,4.87,60.15,91.97,0.82,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,110.50-113.50 (%21.8 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 89.91 (%0.9 altta)
ENPRA,56.1,999,45.0,28.57,-0.32,-,🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,69.60-71.50 (%24.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,-,0.0,EMA5 Direnç: 56.77 (%1.2 üstte)
ENSRI,4.66,-2.1,36.15,6.86,-0.56,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,5.80-6.14 (%24.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 4.76 (%2.1 üstte)
ENTRA,4.42,1.58,46.62,87.58,-0.67,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,5.11-5.43 (%15.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 4.35 (%1.6 altta) | EMA21 Direnç: 4.44 (%0.5 üstte)
EPLAS,5.6,-0.18,46.71,18.21,-0.71,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,5.21-5.82 (fiyat bandın içinde!),6.98-7.35 (%24.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 5.61 (%0.2 üstte)
ERBOS,149.5,1.07,43.33,69.65,-0.78,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,216.20-226.00 (%44.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 147.91 (%1.1 altta) | EMA21 Direnç: 151.17 (%1.1 üstte)
ERCB,45.94,1.38,46.9,66.87,-0.48,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,70.90-73.00 (%54.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 45.31 (%1.4 altta) | EMA21 Direnç: 46.19 (%0.5 üstte)
EREGL,39.5,16.92,53.5,74.38,0.09,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,23.26-23.60 (%40.3 altta),42.12-45.10 (%6.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 39.04 (%1.2 altta)
ERSU,22.9,2.11,39.52,9.61,-0.92,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,22.44-23.20 (fiyat bandın içinde!),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 22.43 (%2.1 altta) | EMA5 Direnç: 23.24 (%1.5 üstte)
ESCAR,43.6,16.05,42.46,36.17,-0.75,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,48.50-50.00 (%11.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟡 Normal Genişlik,0.0,EMA200 Destek: 37.57 (%13.8 altta) | EMA5 Direnç: 44.32 (%1.6 üstte)
